nombre,url,categoria
Inicio,https://www.gob.pe/,Por clasificar
El Estado,https://www.gob.pe/estado,Por clasificar
Entidades del Poder Ejecutivo,https://www.gob.pe/estado/poder-ejecutivo,Por clasificar
Entidades del Poder Legislativo,https://www.gob.pe/estado/poder-legislativo,Por clasificar
Entidades del Poder Judicial,https://www.gob.pe/estado/poder-judicial,Por clasificar
Organismos Autónomos,https://www.gob.pe/estado/organismos-autonomos,Por clasificar
Entidades de los Gobiernos Regionales,https://www.gob.pe/estado/gobiernos-regionales,Por clasificar
Entidades de los Gobiernos Locales,https://www.gob.pe/estado/gobiernos-locales,Por clasificar
Presidencia de la República del Perú (Presidencia),https://www.gob.pe/presidencia,Por clasificar
Presidencia del Consejo de Ministros (PCM),https://www.gob.pe/pcm,Por clasificar
Web de Presidencia del Consejo de Ministros,http://www.gob.pe/pcm,Por clasificar
Comisión Multisectorial de la Acción del Estado en El Ámbito Marítimo (Comaem),https://www.gob.pe/comaem,Por clasificar
Comisión Nacional para El Desarrollo y Vida Sin Drogas (DEVIDA),https://www.gob.pe/devida,Por clasificar
Dirección Nacional de Inteligencia (DINI),https://www.gob.pe/dini,Por clasificar
Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre (OSINFOR),https://www.gob.pe/osinfor,Por clasificar
Autoridad Nacional de Infraestructura (ANIN),https://www.gob.pe/anin,Por clasificar
Organismo Supervisor de Inversión Privada en Telecomunicaciones (OSIPTEL),https://www.gob.pe/osiptel,Por clasificar
Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN),https://www.gob.pe/osinergmin,Por clasificar
Organismo Supervisor de la Inversión en Infraestructura de Transporte de Uso Público (OSITRAN),https://www.gob.pe/ositran,Por clasificar
Superintendencia Nacional de Servicios de Saneamiento (SUNASS),https://www.gob.pe/sunass,Por clasificar
Empresa Municipal Prestadora de Servicios de Saneamiento de las Provincias Alto Andinas S.A. (Empssapal S.A.),https://www.gob.pe/empssapal,Por clasificar
Autoridad Nacional del Servicio Civil (SERVIR),https://www.gob.pe/servir,Por clasificar
Escuela Nacional de Administración Pública (ENAP),https://www.gob.pe/enap,Por clasificar
Centro Nacional de Planeamiento Estratégico (CEPLAN),https://www.gob.pe/ceplan,Por clasificar
"Consejo Nacional de Ciencia, Tecnología e Innovación (CONCYTEC)",https://www.gob.pe/concytec,Por clasificar
Programa Nacional de Investigación Científica y Estudios Avanzados (PROCIENCIA),https://www.gob.pe/prociencia,Por clasificar
Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (Indecopi),https://www.gob.pe/indecopi,Por clasificar
Instituto Nacional de Estadística e Informática (INEI),https://www.gob.pe/inei,Por clasificar
Proyecto Especial Legado (Legado),https://www.gob.pe/proyectolegado,Por clasificar
"Proyecto Especial “secretaría Técnica de Apoyo A la Comisión Ad Hoc, Creada Por El Decreto Supremo Nº 006-2012-ef” (Fonavi-ST)",https://www.gob.pe/fonavi-st,Por clasificar
Autoridad Nacional Autónoma para El Desarrollo Estratégico e Integral del Terminal Portuario Multipropósito de Chancay (ANA-CHANCAY),https://www.gob.pe/anachancay,Por clasificar
Proyecto de Transformación Digital con Equidad (PROTDE),https://www.gob.pe/protde,Por clasificar
Comisión de Alto Nivel Anticorrupción (CAN),https://www.gob.pe/can,Por clasificar
Comisión Encargada de Proponer las Acciones y Medidas de Reforma Administrativa y de Gestión para la Reorganización del Despacho Presidencial (CRDP),https://www.gob.pe/comisiondespachopresidencial,Por clasificar
Empresa Nacional de la Coca S.A. (ENACO S.A.),https://www.gob.pe/enaco,Por clasificar
Empresa Peruana de Servicios Editoriales S.A. (Editora Perú),https://www.gob.pe/editoraperu,Por clasificar
Programa de Mejor Atención Al Ciudadano - Mac (MAC),https://www.gob.pe/mac,Por clasificar
Mejoramiento de Servicios A Ciudadanos y Empresas (PROMSACE),https://www.gob.pe/promsace,Por clasificar
Ministerio de Relaciones Exteriores (RREE),https://www.gob.pe/rree,Por clasificar
Web de Ministerio de Relaciones Exteriores,http://www.gob.pe/rree,Por clasificar
Agencia Peruana de Cooperación Internacional (APCI),https://www.gob.pe/apci,Por clasificar
Embajada del Perú en Alemania (E-Alemania),https://www.gob.pe/embajada-del-peru-en-alemania,Por clasificar
Consulado General del Perú en Munich (C-Munich),https://www.gob.pe/consulado-del-peru-en-munich,Por clasificar
Consulado General del Perú en Hamburgo (C-Hamburgo),https://www.gob.pe/consulado-del-peru-en-hamburgo,Por clasificar
Consulado General del Perú en Frankfurt (C-Frankfurt),https://www.gob.pe/consulado-del-peru-en-frankfurt,Por clasificar
Sección Consular de la Embajada del Perú en la República Federal de Alemania (C-Alemania),https://www.gob.pe/seccion-consular-republica-federal-de-alemania,Por clasificar
Embajada del Perú en Arabia Saudita (E-Arabia Saudita),https://www.gob.pe/embajada-del-peru-en-arabia-saudita,Por clasificar
Embajada del Perú en Argelia (E-Argelia),https://www.gob.pe/embajada-del-peru-en-argelia,Por clasificar
Embajada del Perú en Argentina (E-Argentina),https://www.gob.pe/embajada-del-peru-en-argentina,Por clasificar
Consulado General del Perú en Mendoza (C-Mendoza),https://www.gob.pe/consulado-del-peru-en-mendoza,Por clasificar
Consulado General del Perú en Buenos Aires (C-BuenosAires),https://www.gob.pe/consulado-del-peru-en-buenos-aires,Por clasificar
Consulado General del Perú en la Plata (C-LaPlata),https://www.gob.pe/consulado-del-peru-en-la-plata,Por clasificar
Consulado General del Perú en Córdoba (C-Córdoba),https://www.gob.pe/consulado-del-peru-en-cordoba,Por clasificar
Embajada del Perú en Australia (E-Australia),https://www.gob.pe/embajada-del-peru-en-australia,Por clasificar
