nombre,url,categoria
Inicio,https://www.gob.pe/,OTROS
El Estado,https://www.gob.pe/estado,OTROS
Entidades del Poder Ejecutivo,https://www.gob.pe/estado/poder-ejecutivo,OTROS
Entidades del Poder Legislativo,https://www.gob.pe/estado/poder-legislativo,OTROS
Entidades del Poder Judicial,https://www.gob.pe/estado/poder-judicial,OTROS
Organismos Autónomos,https://www.gob.pe/estado/organismos-autonomos,OTROS
Entidades de los Gobiernos Regionales,https://www.gob.pe/estado/gobiernos-regionales,OTROS
Entidades de los Gobiernos Locales,https://www.gob.pe/estado/gobiernos-locales,OTROS
Presidencia de la República del Perú (Presidencia),https://www.gob.pe/presidencia,OTROS
Presidencia del Consejo de Ministros (PCM),https://www.gob.pe/pcm,OTROS
Comisión Multisectorial de la Acción del Estado en El Ámbito Marítimo (Comaem),https://www.gob.pe/comaem,OTROS
Comisión Nacional para El Desarrollo y Vida Sin Drogas (DEVIDA),https://www.gob.pe/devida,OTROS
Dirección Nacional de Inteligencia (DINI),https://www.gob.pe/dini,OTROS
Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre (OSINFOR),https://www.gob.pe/osinfor,ORGANISMO
Organismo Supervisor de Inversión Privada en Telecomunicaciones (OSIPTEL),https://www.gob.pe/osiptel,ORGANISMO
Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN),https://www.gob.pe/osinergmin,ORGANISMO
Organismo Supervisor de la Inversión en Infraestructura de Transporte de Uso Público (OSITRAN),https://www.gob.pe/ositran,ORGANISMO
Superintendencia Nacional de Servicios de Saneamiento (SUNASS),https://www.gob.pe/sunass,SUPERINTENDENCIA
Centro Nacional de Planeamiento Estratégico (CEPLAN),https://www.gob.pe/ceplan,CENTRO
"Consejo Nacional de Ciencia, Tecnología e Innovación (CONCYTEC)",https://www.gob.pe/concytec,OTROS
Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (Indecopi),https://www.gob.pe/indecopi,INSTITUTO
Instituto Nacional de Estadística e Informática (INEI),https://www.gob.pe/inei,INSTITUTO
Proyecto de Transformación Digital con Equidad (PROTDE),https://www.gob.pe/protde,OTROS
Comisión de Alto Nivel Anticorrupción (CAN),https://www.gob.pe/can,OTROS
Comisión Encargada de Proponer las Acciones y Medidas de Reforma Administrativa y de Gestión para la Reorganización del Despacho Presidencial (CRDP),https://www.gob.pe/comisiondespachopresidencial,OTROS
Mejoramiento de Servicios A Ciudadanos y Empresas (PROMSACE),https://www.gob.pe/promsace,OTROS
Ministerio de Relaciones Exteriores (RREE),https://www.gob.pe/rree,MINISTERIO
Representación Permanente del Perú Ante la Onu (rpponu),https://www.gob.pe/rpponu,OTROS
Representación Permanente del Perú Ante los Organismos Internacionales con Sede en Ginebra (RPPOOII),https://www.gob.pe/rppooii,OTROS
Ministerio de Defensa (MINDEF),https://www.gob.pe/mindef,MINISTERIO
Comisión Nacional de Investigación y Desarrollo Aeroespacial (CONIDA),https://www.gob.pe/conida,OTROS
Instituto Geográfico Nacional (IGN),https://www.gob.pe/ign,INSTITUTO
Instituto Nacional de Defensa Civil (INDECI),https://www.gob.pe/indeci,INSTITUTO
Instituto de Trasplantes de Órganos y Tejidos de las Fuerzas Armadas y Policía Nacional del Perú (ITOT),https://www.gob.pe/itot,INSTITUTO
Oficina Previsional de las Fuerzas Armadas (OPREFA),https://www.gob.pe/oprefa,OTROS
Comando Conjunto de las Fuerzas Armadas (CCFFAA),https://www.gob.pe/ccffaa,OTROS
Ejército del Perú (EP),https://www.gob.pe/ejercito,OTROS
Fuerza Aérea del Perú (FAP),https://www.gob.pe/fap,OTROS
Marina de Guerra del Perú (MGP),https://www.gob.pe/marina,OTROS
Comité de Prevención y Control VIH/SIDA FFAA y PNP (COPRECOS),https://www.gob.pe/comite-de-prevencion-y-control-vih-sida-ffaa-y-pnp,OTROS
